remedy,symptom_text,body_part,modality,source_book,severity,confidence_hint
Aconitum Napellus,perspiration,general,not specified,Allen,moderate,0.8
Lilium Tigrinum,it gets worse when sensation about apex; sharp pain in left chest awakens at night;,,,,,
Coffee Cruda,suffering from hasty eating and drinking,,,,,
Arsenic Album,cannot or dare not drink it,general,not specified,Allen,moderate,0.8
Magnesia Muratica,"i noticed tendency of head to sweat (cal., sanic., sil.)",,,,,
Baptisia Tinctoria,"having after baptisia: crot., ham., nit lately",,,,,
Nux Vomica,"i noticed sour, bitter, nausea and vomiting every morning with depression of",,,,,
Calcarea Phosphorica,and reopen; delayed or complicated teething,general,not specified,Allen,moderate,0.8
Iodum,i have cervix; cutting pains in abdomen and haemorrhage at every stool,,,,,
Syphillinum,i am experiencing keynotes by h.c,,,,,
Capsicum,having painful swelling behind ear lately,,,,,
Cicuta Virosa,"suffering from face; lockjaw, loss of consciousness and distortion of limbs;",,,,,
Rhus Toxicodendron,it hurts when part of limbs during stool,,,,,
Rhus Toxicodendron,"tongue: dry; sore, red, cracked; triangular",general,not specified,Allen,moderate,0.8
Lachesis,"i am experiencing menopause (sang., sulph.)",,,,,
Graphites,violent colic; irregular; delayed from getting feet wet (puls.),general,not specified,Allen,moderate,0.8
Borax,"my problem is (apis, cina, stram.)",,,,,
Natrum Carbonicum,"suffering from under (carbo an., nat m.)",,,,,
Chamomilla,i feel part; eructations <,,,,,
Argentum Nitricum,it gets worse when - open air; craves the wind blowing in his face;,,,,,
Actaea Racemosa,"i noticed soreness, after dancing, skating, or other violent muscular exertion",,,,,
Baryta Carbonica,i feel especially adapted to complaints of first and second childhood; the,,,,,
Antimony Crudum,suffering from mucus: in large quantities from,,,,,
Menyanthes Trifoliata,"it gets worse when pressing on the head at every step (cac., glon., lach.); <",,,,,
Ledum Palustre,"i am experiencing contusions of eye and lids, especially if much",,,,,
Kalmia Latifolia,"suffering from adapted to acute neuralgia, rheumatism, gouty complaints,",,,,,
Lycopodium Clavatum,it hurts when accumulation of flatulence; constant sensation of satiety; good,,,,,
Spigelia,"my problem is eyes were too large for the orbits (act., com.); sensitve to touch;",,,,,
Calcarea Phosphorica,"it hurts when for persons of anaemic and dark complexioned, dark hair and",,,,,
Chamomilla,"i am experiencing bed at night, compel him to walk about (rhus)",,,,,
Dulcamara,i noticed wading with bare feet in cold water; involuntary,,,,,
Sulphur,it gets worse when aggravation,,,,,
Anacardium Orientale,having irresistible desire to curse and swear (lac lately,,,,,
Lachesis,"i have perspiration; burning vertex headache, especially at or after the",,,,,
Pyrogen,"i am experiencing enlarged; purring, throbbing, pulsating, constant in ears, preventing",,,,,
Sulphuric Acid,pain of gradual and slowly-,general,not specified,Allen,moderate,0.8
Kreosotum,"having scorbutic, ulcerated lately",,,,,
Sambucus Nigra,"i am experiencing cough: suffocative,",,,,,
Aconitum Napellus,"this mental anxiety, worry, fear accompanies the most",general,not specified,Allen,moderate,0.8
Pulsatilla,it hurts when threatened abortion; flow ceases and then returns with increased,,,,,
Thlaspi Bursa Pastoris,i noticed menses: too early; too profuse;,,,,,
Calcarea Ostrearum,"it gets worse when of single parts (kali bi.); head, stomach, abdomen, feet and legs;",,,,,
Arnica Montana,it gets worse when everything on which he lies seems too hard;,,,,,
Calcarea Ostrearum,"i feel or other diseases brought on by standing on cold, damp pavements,",,,,,
Ruta Graveolens,"i have urine on account of urging, yet if not attended to it was difficult",,,,,
Dioscorea Villosa,having felons; early when pains are sharp and lately,,,,,
Kali Bromatum,my problem is somnambulism (sil.),,,,,
Argentum Nitricum,it hurts when progressing every year; most marked in lower extremeties (am,,,,,
Lobelia Inflata,"best adapted to persons of light hair, blue eyes, fair complexion,",general,not specified,Allen,moderate,0.8
Calendula,i feel as if beaten (arn.); excessive secretion of pus,,,,,
Baryta Carbonica,suffering from aggravation,,,,,
Ipecacuanha,having in all diseases with lately,,,,,
Conium Maculatum,"i have no inclination for business or study; indolent, indifferent, takes no",,,,,
Thuja Occidentalis,"i feel covering; in uncovered, feels as if a cold stream of air were",,,,,
Anacardium Orientale,constipation,general,not specified,Allen,moderate,0.8
Causticum,i am experiencing amelioration,,,,,
Lyc,having keynotes by h.c lately,,,,,
Kali Bichromicum,"having fluid mucus; in clear masses, and has violent pain from occiput to lately",,,,,
Helleborus Niger,"weakly, delicate,, psoric children; prone to brain troubles (bell.,",general,not specified,Allen,moderate,0.8
Causticum,aggravation,general,not specified,Allen,moderate,0.8
Argentum Metallicum,on swallowing or coughing,general,not specified,Allen,moderate,0.8
Aloe Socotrina,"it gets worse when similar: to, am",,,,,
Cina,"t., bry., cham., kreos., sil.,",general,not specified,Allen,moderate,0.8
Sabina,my problem is keynotes by h.c,,,,,
Menyanthes Trifoliata,my problem is (genitanaceae.),,,,,
Tartar Emetic,i am experiencing mucus in bronchi; from impeding paralysis of lungs; from foreign,,,,,
Veratrum Viride,my problem is pulse: suddenly increases and gradually deceases below normal;,,,,,
Croton Tiglium,aggravation,general,not specified,Allen,moderate,0.8
Spongia Tosta,"i have to proceed from chest (from abdomen, pelvis, phos., sep.)",,,,,
Arsenic Album,"having blue and wrinkled; with cold, clammy perspiration; like lately",,,,,
Mercurius Corrosivus,"i am experiencing gonorrhoea: second stage, greenish discharge, < at",,,,,
Acetic Acid,suffering from cough with inhalation (spong.); last stages,,,,,
Sulph,"having pressure; rest; cold, eating cold things lately",,,,,
Fatal syncope may occur when being raised to upright position,"suffering from - when sitting, especially when sitting erect;",,,,,
Aloe Socotrina,"i noticed similar: to, am",,,,,
Puls,"i have - warmth, hard pressure (cinch.); swallowing;",,,,,
Picric Acid,it hurts when burning along spine and great weakness of spine and back;,,,,,
Medorrhinum,for the constitutional effects of mal-treated and suppressed,general,not specified,Allen,moderate,0.8
Aloe Socotrina,"i have women of relaxed, phelgmatic habit",,,,,
Lilium Tigrinum,suffering from uterine complaints; consolation <,,,,,
Sanicula,"standing; like scum of a frog pond; after eating, must hurry from",general,not specified,Allen,moderate,0.8
Antimony Crudum,"i am experiencing great sadness, with weeping",,,,,
Rhus Toxicodendron,i noticed affects the,,,,,
Lycopodium Clavatum,"i am experiencing cannot calm herself; very sensitive, even cries when thanked",,,,,
Euphrasia,"i am experiencing menses: painful, regular,",,,,,
Medorrhinum,"my problem is trembling all over (subjective), intense nervousness",,,,,
Secale Cornutum,i noticed amelioration,,,,,
Ipecacuanha,having puls.); tongue clean or slightly coated lately,,,,,
Nux Moschata,"my problem is changeable humor; one moment laughing, the",,,,,
Pa,symptoms of two or more medical agents in order to,general,not specified,Allen,moderate,0.8
Asarum Europaeum,"it hurts when cold air or cold water very pleasant to the eyes; sunshine,",,,,,
Nux Moschata,"it hurts when muddled, as if intoxicated; coma, lies silent, immovable; eyes",,,,,
Silicea,nipple is drawn in like a funnel (sars.),general,not specified,Allen,moderate,0.8
Picric Acid,"i feel with spinal disease; erections; satyriasis (canth., phos.)",,,,,
Anacardium Orientale,"suffering from when walking, is anxious, as if some",,,,,
Selenium,"i noticed weak, easily exhausted; from either mental",,,,,
Helleborus Niger,"i am experiencing insensible to light; pupils dilated, or alternately contracted and",,,,,
Silicea,"i am experiencing expulsion of foreign bodies from the tissues; fish bones, needles,",,,,,
Headache and diarrhoea from jarring of ears,it hurts when throat constantly filled,,,,,
Allium Cepa,having coryza: after damp northeasterly winds; discharge burns and lately,,,,,
Hyoscyamus Niger,i have cerebral congestion of the former and the fierce rage and maniacal,,,,,
Secale Cornutum,i feel often commencement of gangrene,,,,,
Arnica Montana,i have heat of upper body; coldness of lower,,,,,
Sabadilla,shrunken; that she is pregnant when merely distended from flatus;,general,not specified,Allen,moderate,0.8
Spigelia,"i feel scrofulous children afflicted with ascarides and lumbrici (cina,",,,,,
Ignatia,it hurts when involuntary,,,,,
Ipecacuanha,"suffering from profuse, clotted; heavy, oppressed breathing during; stitches from",,,,,
Nux Vomica,"i am experiencing with consciousness (strych.); < anger, emotion, touch, moving",,,,,
Bromium,fan-like motion of the alae nasi (ant,general,not specified,Allen,moderate,0.8
Colchicum Autumnale,i feel right (lach.),,,,,
Cannabis Sativa,having fingers after a sprain lately,,,,,
Spongia Tosta,i feel swelling and induration of glands; goitre (brom.),,,,,
Antimony Crudum,i have gastric and,,,,,
Theridion Curassavicum,"having for extreme nervous sensitiveness; of puberty, during lately",,,,,
Asarum Europaeum,it gets worse when hovering in the air like a spirit (lac,,,,,
Pulsatilla,my problem is (ranunculaceae),,,,,
Euphrasia,after exposure to south wind; when touched (hep.),general,not specified,Allen,moderate,0.8
Valeriana,"having - compare: asaf., asar., croc., ign., lac c., spig., lately",,,,,
Baptisia Tinctoria,i feel at first coated white with red papillae; dry and yellow-brown in,,,,,
Cina,suffering from canine hunger: hungry soon after a full meal;,,,,,
Natrum Carbonicum,suffering from aggravations,,,,,
Pa,"it gets worse when ""characteristic,"" the ""red strand of the rope,"" and",,,,,
Sabadilla,"it gets worse when suited to persons of light hair, fair complexion with a weak,",,,,,
Helonias Dioica,"suffering from flow passive,",,,,,
Digitalis Purpurea,"i noticed stools: very light, ash-colored; delayed, chalky",,,,,
Kreosotum,"it gets worse when toward evening as to drive one almost wild (itching, without",,,,,
Bismuth,vomiting: of water as soon,general,not specified,Allen,moderate,0.8
Bovista,i feel only at night; not in the daytime (mag,,,,,
Veratrum Album,"i noticed rectum, nux); painful, of infants and children, after lyc., and nux",,,,,
Lyssin,"it gets worse when swallowing, even spasm of oesophagus from swallowing liquids;",,,,,
Skimmed Milk,i have fatigue when walking,,,,,
Sil,having amelioration lately,,,,,
Veratrum Album,suffering from after camph,,,,,
Agnus Castus,it hurts when contempt; arising in young persons from abuse of the sexual,,,,,
Pa,individuality of the remedy,general,not specified,Allen,moderate,0.8
Apis Mellifica,"i noticed oedema; bag-like, puffy swelling under the",,,,,
Aconitum Napellus,"i feel warm room; when rising from bed; lying on affected side (hep.,",,,,,
Ammonium Carbonicum,i have affects the right side most,,,,,
Acetic Acid,"having thirst; intense, burning, insatiable even for large quantities in lately",,,,,
Aurum Metallicum,i noticed for constitutions broken down by bad effects of mercury,,,,,
Lachesis,"having all symptoms, especially the mental, worse after sleep, or lately",,,,,
Thuja Occidentalis,it hurts when and many constitutional troubles,,,,,
Alumina,"suffering from pregnancy, from inactive rectum (sep.)",,,,,
Veratrum Viride,"i am experiencing slow, soft, weak; irregular, intermittent (dig., tab.)",,,,,
Cina,"peristeum, as if strainted, sore all over; obliged to move limbs",general,not specified,Allen,moderate,0.8
Secale Cornutum,"it gets worse when tingling in the limbs and great debility, especially when the",,,,,
Gelsemium,"i have falling, grasp the crib or seize the nurse (bor., sanic.)",,,,,
Picric Acid,"m., sil.); <",general,not specified,Allen,moderate,0.8
Calendula,i am experiencing in traumatism,,,,,
Colchicum Autumnale,i am experiencing often cures in dropsy,,,,,
Agnus Castus,"it gets worse when ""old sinners,"" with impotence",,,,,
Hepar Sulphuris,"it hurts when threatens; chronic hypertrophy, with hardness of hearing (bar.,",,,,,
Chamomilla,"my problem is offensive, like rotten eggs",,,,,
The Publishers,having symptomatology is made up of the unchanging lately,,,,,
Belladonna,"having similar: to, lately",,,,,
Allium Cepa,"i have acrid tears, bland and fluent coryza, euph.)",,,,,
From cold air and cold water,it hurts when - least mental exertion; motion; study; wet weather,,,,,
Selenium,"i feel with desire; lewd thoughts, but physically impotent (sudden",,,,,
Chelidonium Majus,"my problem is persons of light complexion, blondes; thin, spare, irritable; subject",,,,,
Rhus,my problem is and exercise,,,,,
Coca,strain of a busy life; who suffer from exhausted nerves and brains,general,not specified,Allen,moderate,0.8
Ammonium Carbonicum,"having (bov., ver.) lately",,,,,
Belladonna,buckshot striking the finger; mucous membrane of mouth dry;,general,not specified,Allen,moderate,0.8
Arum Triphyllum,my problem is indian turnip (araceae),,,,,
Lobelia Inflata,"it gets worse when or weight in chest as if blood from extremities was filling it, > by",,,,,
Podophyllum,i feel diarrhoea: of long standing;,,,,,
Gelsemium,"it gets worse when open (caust., graph., sep.)",,,,,
Sulphur,"it gets worse when - dry, warm weather; lying on the right side (rev",,,,,
Collinsonia Canadensis,haemorrhoidal dysentery with tenesmus,general,not specified,Allen,moderate,0.8
Ferrum Metallicum,"disputative, easily excited, least contradiction angers (anac., coc.,",general,not specified,Allen,moderate,0.8
Zincum Metallicum,i feel from suppressed eruptions,,,,,
Causticum,suffering from after pertusis; with expectoration chiefly at night,,,,,
Staphisagria,"my problem is or throw away (kreos.) [cina, bry.]",,,,,
Sulphuric Acid,"i feel compare: ars., bor., calend.,",,,,,
Calcarea Ostrearum,"of soles of feet from perspiration (graph., sanic.); blisters and",general,not specified,Allen,moderate,0.8
Thlaspi Bursa Pastoris,it gets worse when from one period before another begins,,,,,
